transaction_id,cashier_id,timestamp,item_count,total_amount,void_count,no_sale_count,weight_variance,is_fraud
T000095,C029,2026-01-11 17:51:46.721946,48,464.86,0,0,3.92,0
T000096,C015,2026-01-11 17:52:15.721946,49,371.57,2,0,0.61,0
T000097,C045,2026-01-11 17:52:28.721946,20,390.05,1,0,-0.72,0
T000098,C001,2026-01-11 17:53:05.721946,47,86.37,2,0,3.16,0
T000099,C025,2026-01-11 17:53:19.721946,9,136.98,1,0,1.94,0
T000100,C007,2026-01-11 17:54:16.721946,23,259.0,1,0,9.85,0
T000101,C009,2026-01-11 17:56:06.721946,45,11.67,0,0,0.34,0
T000102,C024,2026-01-11 17:56:36.721946,7,435.71,1,0,-6.82,0
T000103,C001,2026-01-11 17:57:25.721946,31,389.98,1,0,-2.08,0
T000104,C044,2026-01-11 17:57:57.721946,11,33.68,2,0,1.33,0
T000105,C008,2026-01-11 17:59:17.721946,40,425.27,1,0,-2.54,0
T000106,C024,2026-01-11 17:59:25.721946,17,7.22,2,0,-8.56,0
T000107,C011,2026-01-11 17:59:34.721946,36,61.54,0,0,-3.53,0
T000108,C017,2026-01-11 18:03:11.721946,26,32.41,2,0,3.47,0
T000109,C008,2026-01-11 18:03:11.721946,36,242.18,2,0,-15.33,0
T000110,C035,2026-01-11 18:05:30.721946,18,393.1,1,0,5.65,0
T000111,C035,2026-01-11 18:05:43.721946,31,93.38,0,0,4.62,0
T000112,C033,2026-01-11 18:06:47.721946,49,386.89,2,0,0.58,0
T000113,C005,2026-01-11 18:07:25.721946,35,96.54,0,0,-8.86,0
T000114,C042,2026-01-11 18:08:10.721946,41,495.32,0,0,-9.9,0
T000115,C039,2026-01-11 18:09:24.721946,28,427.47,2,0,-0.21,0
T000116,C041,2026-01-11 18:09:37.721946,26,369.91,1,0,-4.33,0
T000117,C028,2026-01-11 18:09:57.721946,6,297.89,0,0,-3.62,0
T000118,C007,2026-01-11 18:10:04.721946,34,125.06,0,0,3.99,0
T000119,C009,2026-01-11 18:10:37.721946,28,64.04,2,0,6.19,0
T000120,C008,2026-01-11 18:10:48.721946,44,232.85,0,0,8.08,0
T000121,C012,2026-01-11 18:12:01.721946,47,204.32,2,0,10.98,0
T000122,C034,2026-01-11 18:12:25.721946,9,338.87,2,0,1.73,0
T000123,C033,2026-01-11 18:13:15.721946,29,89.19,2,0,-4.65,0
T000124,C048,2026-01-11 18:13:18.721946,34,283.25,2,0,1.86,0
T000125,C023,2026-01-11 18:15:05.721946,12,348.21,2,0,0.1,0
T000126,C024,2026-01-11 18:15:17.721946,16,152.99,2,0,4.04,0
T000127,C037,2026-01-11 18:17:11.721946,7,391.11,2,0,-1.92,0
T000128,C035,2026-01-11 18:17:13.721946,31,218.76,2,0,4.52,0
T000129,C044,2026-01-11 18:17:15.721946,33,85.5,2,0,1.24,0
T000130,C040,2026-01-11 18:17:45.721946,7,101.41,1,0,-0.52,0
T000131,C022,2026-01-11 18:18:13.721946,3,143.05,1,0,6.38,0
T000132,C027,2026-01-11 18:18:22.721946,20,83.27,2,0,-1.48,0
T000133,C035,2026-01-11 18:18:42.721946,5,6.92,1,0,1264.07,1
T000134,C001,2026-01-11 18:19:07.721946,3,474.82,2,0,-0.53,0
T000135,C035,2026-01-11 18:20:26.721946,47,448.56,1,0,-5.06,0
T000136,C037,2026-01-11 18:21:04.721946,38,165.26,1,0,3.1,0
T000137,C047,2026-01-11 18:23:03.721946,15,433.01,0,0,-6.7,0
T000138,C014,2026-01-11 18:24:41.721946,35,477.24,2,0,6.06,0
T000139,C003,2026-01-11 18:25:12.721946,23,150.61,2,0,1.08,0
T000140,C001,2026-01-11 18:26:05.721946,33,453.12,2,0,-2.93,0
T000141,C005,2026-01-11 18:28:43.721946,2,498.73,2,0,2.95,0
T000142,C026,2026-01-11 18:31:14.721946,36,399.85,2,0,-0.09,0
T000143,C014,2026-01-11 18:32:07.721946,21,198.16,0,0,0.45,0
T000144,C039,2026-01-11 18:33:32.721946,14,306.23,0,0,-3.32,0
T000145,C027,2026-01-11 18:35:59.721946,14,185.27,0,0,-0.6,0
T000146,C009,2026-01-11 18:38:23.721946,42,498.0,1,0,3.42,0
T000147,C015,2026-01-11 18:39:21.721946,11,38.59,1,0,6.03,0
T000148,C015,2026-01-11 18:41:27.721946,4,447.07,0,0,6.02,0
T000149,C026,2026-01-11 18:43:46.721946,47,41.9,1,0,-5.69,0
T000150,C042,2026-01-11 18:44:04.721946,30,25.89,2,0,-5.88,0
T000151,C013,2026-01-11 18:44:31.721946,36,470.27,1,0,5.23,0
T000152,C032,2026-01-11 18:44:47.721946,20,434.3,2,0,3.99,0
T000153,C039,2026-01-11 18:46:09.721946,16,183.97,2,0,8.91,0
T000154,C049,2026-01-11 18:47:06.721946,34,478.98,1,0,4.91,0
T000155,C032,2026-01-11 18:48:50.721946,45,431.62,1,0,6.1,0
T000156,C004,2026-01-11 18:49:14.721946,8,451.48,1,0,-5.14,0
T000157,C030,2026-01-11 18:49:42.721946,45,299.58,0,0,-3.92,0
T000158,C037,2026-01-11 18:50:59.721946,20,479.37,0,0,2.44,0
T000159,C023,2026-01-11 18:51:59.721946,21,405.74,1,0,-0.53,0
T000160,C039,2026-01-11 18:53:40.721946,40,470.28,0,0,-1.74,0
T000161,C045,2026-01-11 18:53:46.721946,30,144.35,2,0,16.68,0
T000162,C015,2026-01-11 18:54:40.721946,36,268.39,0,0,-1.36,0
T000163,C043,2026-01-11 18:55:32.721946,5,434.49,0,0,-1.63,0
T000164,C029,2026-01-11 18:56:41.721946,21,291.97,1,0,-0.61,0
T000165,C036,2026-01-11 18:56:49.721946,38,401.54,1,0,-3.42,0
T000166,C013,2026-01-11 18:58:32.721946,23,486.68,2,0,0.83,0
T000167,C032,2026-01-11 19:00:10.721946,19,403.26,1,0,10.16,0
T000168,C007,2026-01-11 19:00:24.721946,10,161.1,1,0,-3.58,0
T000169,C022,2026-01-11 19:00:39.721946,27,63.76,2,0,1.85,0
T000170,C028,2026-01-11 19:01:26.721946,35,140.01,2,0,1.13,0
T000171,C002,2026-01-11 19:01:42.721946,13,333.08,2,0,-2.57,0
T000172,C042,2026-01-11 19:03:02.721946,9,10.42,2,0,-3.55,0
T000173,C045,2026-01-11 19:03:26.721946,17,98.91,0,0,7.88,0
T000174,C006,2026-01-11 19:03:30.721946,31,166.82,1,0,-0.63,0
T000175,C028,2026-01-11 19:04:03.721946,42,438.24,2,0,-1.2,0
T000176,C028,2026-01-11 19:05:10.721946,44,30.25,2,0,13.96,0
T000177,C044,2026-01-11 19:05:15.721946,45,29.72,2,0,-2.51,0
T000178,C044,2026-01-11 19:06:18.721946,24,278.13,1,0,8.29,0
T000179,C020,2026-01-11 19:08:37.721946,42,92.99,0,0,1.41,0
T000180,C030,2026-01-11 19:09:04.721946,19,124.9,2,0,2.37,0
T000181,C011,2026-01-11 19:09:17.721946,49,96.2,0,0,3.23,0
T000182,C028,2026-01-11 19:09:49.721946,30,292.9,0,0,2.39,0
T000183,C025,2026-01-11 19:12:44.721946,5,32.5,0,0,-0.03,0
T000184,C039,2026-01-11 19:13:10.721946,8,470.3,1,0,2.16,0
T000185,C033,2026-01-11 19:16:24.721946,37,65.95,0,0,3.51,0
T000186,C001,2026-01-11 19:17:03.721946,47,476.04,1,0,-7.55,0
T000187,C027,2026-01-11 19:17:46.721946,36,390.17,0,0,8.84,0
T000188,C013,2026-01-11 19:18:21.721946,25,414.87,0,0,1.3,0
T000189,C041,2026-01-11 19:18:44.721946,45,90.54,1,1,1.91,0
T000190,C003,2026-01-11 19:18:54.721946,49,336.48,2,0,2.44,0
T000191,C039,2026-01-11 19:19:38.721946,5,409.45,1,0,2.59,0
T000192,C006,2026-01-11 19:20:44.721946,33,281.23,0,0,0.61,0
T000193,C008,2026-01-11 19:21:14.721946,22,277.78,0,0,-8.66,0
T000194,C027,2026-01-11 19:21:46.721946,47,83.91,1,0,-7.7,0
T000195,C009,2026-01-11 19:23:21.721946,42,210.05,2,0,-1.65,0
T000196,C037,2026-01-11 19:24:07.721946,25,79.52,2,0,-5.75,0
T000197,C033,2026-01-11 19:24:11.721946,43,486.56,0,0,5.86,0
T000198,C042,2026-01-11 19:24:33.721946,50,344.0,1,0,3.62,0
T000199,C044,2026-01-11 19:25:07.721946,29,28.97,0,0,3.25,0
T000200,C024,2026-01-11 19:27:11.721946,45,241.0,2,0,1.23,0
T000201,C015,2026-01-11 19:27:25.721946,30,320.79,2,0,0.45,0
T000202,C032,2026-01-11 19:28:28.721946,48,52.34,0,0,1.32,0
T000203,C032,2026-01-11 19:30:34.721946,30,334.17,2,0,4.94,0
T000204,C024,2026-01-11 19:30:36.721946,44,92.77,0,0,-3.55,0
T000205,C041,2026-01-11 19:31:37.721946,46,206.9,0,0,-2.73,0
T000206,C049,2026-01-11 19:33:07.721946,31,314.65,2,0,-3.61,0
T000207,C049,2026-01-11 19:33:51.721946,34,185.7,1,0,-3.57,0
T000208,C012,2026-01-11 19:34:00.721946,28,193.54,0,0,0.59,0
T000209,C039,2026-01-11 19:34:25.721946,10,422.59,2,0,5.99,0
T000210,C002,2026-01-11 19:34:28.721946,4,158.09,2,0,-0.43,0
T000211,C003,2026-01-11 19:34:34.721946,33,329.32,1,0,10.61,0
T000212,C049,2026-01-11 19:34:42.721946,17,425.33,2,0,1.73,0
T000213,C037,2026-01-11 19:34:54.721946,11,80.56,2,0,-2.0,0
T000214,C049,2026-01-11 19:35:46.721946,7,27.73,1,0,8.61,0
T000215,C017,2026-01-11 19:36:06.721946,17,413.64,0,0,0.35,0
T000216,C049,2026-01-11 19:37:38.721946,28,277.81,2,0,3.97,0
T000217,C002,2026-01-11 19:38:50.721946,17,414.71,0,0,-5.55,0
T000218,C002,2026-01-11 19:39:13.721946,41,110.45,2,0,-0.94,0
T000219,C028,2026-01-11 19:39:16.721946,10,417.15,1,0,1.59,0
T000220,C023,2026-01-11 19:39:25.721946,26,52.18,0,0,-3.58,0
T000221,C037,2026-01-11 19:39:36.721946,6,442.19,2,0,-2.09,0
T000222,C032,2026-01-11 19:41:01.721946,17,412.15,0,0,-0.9,0
T000223,C033,2026-01-11 19:41:55.721946,16,285.83,2,0,3.16,0
T000224,C001,2026-01-11 19:42:04.721946,39,306.13,1,0,-12.28,0
T000225,C019,2026-01-11 19:42:08.721946,26,176.19,0,0,-6.55,0
T000226,C002,2026-01-11 19:42:50.721946,4,104.8,0,0,6.35,0
T000227,C044,2026-01-11 19:43:17.721946,20,230.44,2,0,3.72,0
T000228,C026,2026-01-11 19:43:21.721946,49,330.44,2,0,-3.1,0
T000229,C032,2026-01-11 19:44:50.721946,16,499.24,15,1,3.61,1
T000230,C006,2026-01-11 19:45:02.721946,11,409.54,2,0,0.21,0
T000231,C032,2026-01-11 19:46:05.721946,23,219.98,2,0,-5.6,0
T000232,C004,2026-01-11 19:47:12.721946,33,372.91,0,0,-6.23,0
T000233,C011,2026-01-11 19:48:13.721946,31,58.48,2,0,-6.46,0
T000234,C017,2026-01-11 19:49:36.721946,12,210.44,11,1,-2.56,1
T000235,C038,2026-01-11 19:49:37.721946,22,215.34,0,0,3.73,0
T000236,C024,2026-01-11 19:50:27.721946,5,499.42,2,0,-4.2,0
T000237,C005,2026-01-11 19:52:07.721946,37,198.55,0,0,-3.19,0
T000238,C034,2026-01-11 19:53:12.721946,1,46.22,0,0,1.38,0
T000239,C006,2026-01-11 19:55:41.721946,6,38.28,1,0,2.64,0
T000240,C022,2026-01-11 19:56:52.721946,45,350.7,2,0,-2.24,0
T000241,C011,2026-01-11 19:57:52.721946,47,148.1,2,0,-3.71,0
T000242,C048,2026-01-11 19:57:57.721946,4,435.11,0,0,-6.37,0
T000243,C016,2026-01-11 19:58:39.721946,30,244.06,0,0,11.03,0
T000244,C033,2026-01-11 19:59:20.721946,30,168.53,1,0,-5.94,0
T000245,C009,2026-01-11 19:59:27.721946,17,380.76,2,0,-5.38,0
T000246,C006,2026-01-11 20:01:18.721946,24,211.68,1,0,-8.0,0
T000247,C016,2026-01-11 20:01:35.721946,31,370.0,2,0,5.79,0
T000248,C029,2026-01-11 20:02:37.721946,28,358.48,0,0,5.37,0
T000249,C003,2026-01-11 20:02:45.721946,45,362.99,2,0,2.1,0
T000250,C020,2026-01-11 20:02:52.721946,43,429.28,1,0,-3.37,0
T000251,C036,2026-01-11 20:03:30.721946,4,424.96,2,0,5.27,0
T000252,C019,2026-01-11 20:05:03.721946,39,333.98,2,0,1.21,0
T000253,C026,2026-01-11 20:05:30.721946,19,478.7,1,0,2.17,0
T000254,C003,2026-01-11 20:06:36.721946,24,15.26,1,0,1.34,0
T000255,C019,2026-01-11 20:07:23.721946,7,465.56,0,0,-9.85,0
T000256,C020,2026-01-11 20:09:21.721946,46,78.39,1,0,0.29,0
T000257,C032,2026-01-11 20:10:13.721946,48,109.76,0,0,-1.45,0
T000258,C007,2026-01-11 20:11:24.721946,9,409.61,2,0,1.58,0
T000259,C041,2026-01-11 20:12:27.721946,22,203.22,1,0,-2.56,0
T000260,C033,2026-01-11 20:12:45.721946,2,215.53,2,0,2.13,0
T000261,C040,2026-01-11 20:13:14.721946,27,134.31,1,0,5.01,0
T000262,C039,2026-01-11 20:13:16.721946,16,116.1,2,0,-15.08,0
T000263,C018,2026-01-11 20:13:30.721946,5,57.59,1,0,8.49,0
T000264,C040,2026-01-11 20:14:27.721946,12,102.4,2,0,0.4,0
T000265,C001,2026-01-11 20:14:43.721946,26,285.54,0,0,-3.91,0
T000266,C011,2026-01-11 20:14:48.721946,15,354.77,2,0,0.04,0
T000267,C028,2026-01-11 20:15:49.721946,3,370.73,0,0,-2.3,0
T000268,C025,2026-01-11 20:16:15.721946,9,188.21,1,0,-4.91,0
T000269,C050,2026-01-11 20:18:18.721946,28,461.37,2,0,-2.49,0
T000270,C023,2026-01-11 20:18:57.721946,39,167.72,2,0,3.81,0
T000271,C031,2026-01-11 20:19:04.721946,36,60.01,2,0,1.57,0
T000272,C030,2026-01-11 20:19:43.721946,25,472.89,1,0,1.01,0
T000273,C042,2026-01-11 20:20:15.721946,41,272.64,0,0,3.45,0
T000274,C035,2026-01-11 20:20:31.721946,28,485.83,2,0,10.1,0
T000275,C007,2026-01-11 20:21:09.721946,47,199.86,0,0,-3.18,0
T000276,C016,2026-01-11 20:22:39.721946,21,379.91,2,0,10.9,0
T000277,C026,2026-01-11 20:23:30.721946,29,59.42,0,0,0.66,0
T000278,C048,2026-01-11 20:25:40.721946,25,427.77,1,0,-1.47,0
T000279,C049,2026-01-11 20:25:54.721946,30,89.5,0,0,-6.4,0
T000280,C002,2026-01-11 20:27:00.721946,39,39.0,1,0,-1.66,0
T000281,C001,2026-01-11 20:27:40.721946,11,53.39,2,0,5.03,0
T000282,C048,2026-01-11 20:28:50.721946,19,280.9,2,0,-4.95,0
T000283,C012,2026-01-11 20:28:58.721946,11,149.48,2,0,-6.5,0
T000284,C005,2026-01-11 20:29:57.721946,25,480.67,2,0,-1.95,0
T000285,C037,2026-01-11 20:30:40.721946,1,427.07,2,0,7.46,0
T000286,C032,2026-01-11 20:31:42.721946,32,402.64,0,0,-0.08,0
T000287,C009,2026-01-11 20:32:00.721946,21,405.77,2,0,3.92,0
T000288,C041,2026-01-11 20:33:06.721946,45,445.89,1,0,-1.21,0
T000289,C035,2026-01-11 20:34:50.721946,13,433.28,1,0,-0.82,0
T000290,C019,2026-01-11 20:35:43.721946,34,464.46,1,0,-10.9,0
T000291,C048,2026-01-11 20:36:08.721946,17,467.51,1,0,1.29,0
T000292,C016,2026-01-11 20:38:30.721946,47,152.67,0,0,4.39,0
T000293,C003,2026-01-11 20:39:01.721946,19,113.68,0,0,-2.01,0
T000294,C020,2026-01-11 20:39:05.721946,10,323.33,1,0,-1.16,0
T000295,C024,2026-01-11 20:39:32.721946,42,66.05,2,0,8.95,0
T000296,C033,2026-01-11 20:39:33.721946,9,109.52,0,0,8.11,0
T000297,C024,2026-01-11 20:39:46.721946,11,387.61,2,0,0.59,0
T000298,C011,2026-01-11 20:40:08.721946,38,326.42,0,0,6.64,0
T000299,C049,2026-01-11 20:41:22.721946,31,327.17,2,0,1.01,0
T000300,C008,2026-01-11 20:43:00.721946,2,475.57,2,0,5.14,0
T000301,C036,2026-01-11 20:44:53.721946,24,22216.67,2,0,8.39,0
T000302,C038,2026-01-11 20:46:03.721946,42,218.25,2,0,-1.2,0
T000303,C040,2026-01-11 20:46:18.721946,47,143.76,1,0,-1.31,0
T000304,C020,2026-01-11 20:46:46.721946,5,172.58,2,0,-7.15,0
T000305,C035,2026-01-11 20:47:01.721946,50,142.52,1,0,-1.07,0
T000306,C048,2026-01-11 20:47:12.721946,30,22.32,1,0,-3.99,0
T000307,C025,2026-01-11 20:48:02.721946,39,134.48,1,0,-0.29,0
T000308,C035,2026-01-11 20:48:44.721946,35,418.51,2,0,1.54,0
T000309,C025,2026-01-11 20:49:43.721946,48,365.47,1,0,-0.33,0
T000310,C029,2026-01-11 20:50:04.721946,17,17.12,0,0,1270.86,1
T000311,C018,2026-01-11 20:52:07.721946,31,451.59,1,0,3.09,0
T000312,C046,2026-01-11 20:52:09.721946,2,135.74,1,0,-10.6,0
T000313,C018,2026-01-11 20:52:59.721946,16,290.95,1,0,-1.83,0
T000314,C002,2026-01-11 20:53:02.721946,21,20.51,1,0,6.68,0
T000315,C035,2026-01-11 20:54:35.721946,30,446.54,1,0,9.8,0
T000316,C016,2026-01-11 20:56:22.721946,1,226.63,1,0,-7.17,0
T000317,C041,2026-01-11 20:56:48.721946,14,93.05,0,0,5.18,0
T000318,C036,2026-01-11 20:56:55.721946,16,123.46,0,0,1.15,0
T000319,C033,2026-01-11 20:57:22.721946,9,424.88,0,0,2.52,0
T000320,C004,2026-01-11 20:59:15.721946,49,58.86,0,0,-7.86,0
T000321,C033,2026-01-11 21:00:50.721946,8,462.98,2,0,0.92,0
T000322,C014,2026-01-11 21:01:09.721946,9,189.86,0,0,1.16,0
T000323,C021,2026-01-11 21:02:12.721946,34,129.29,0,0,7.57,0
T000324,C048,2026-01-11 21:02:30.721946,45,169.27,0,0,2.23,0
T000325,C020,2026-01-11 21:05:06.721946,33,207.45,1,0,-2.32,0
T000326,C008,2026-01-11 21:05:55.721946,22,276.32,0,0,-3.47,0
T000327,C007,2026-01-11 21:08:08.721946,30,295.47,0,0,3.56,0
T000328,C003,2026-01-11 21:10:19.721946,7,226.67,2,0,9.52,0
T000329,C017,2026-01-11 21:12:09.721946,18,225.95,0,0,0.11,0
T000330,C033,2026-01-11 21:12:10.721946,21,146.22,1,0,-1.06,0
T000331,C048,2026-01-11 21:12:11.721946,5,194.99,2,0,-0.39,0
T000332,C012,2026-01-11 21:12:34.721946,7,236.23,2,0,0.19,0
T000333,C022,2026-01-11 21:13:20.721946,12,300.81,1,1,-0.82,0
T000334,C022,2026-01-11 21:14:16.721946,17,69.7,1,0,-1.16,0
T000335,C046,2026-01-11 21:15:10.721946,24,383.17,2,0,0.89,0
T000336,C030,2026-01-11 21:16:08.721946,37,341.88,1,0,-1.25,0
T000337,C038,2026-01-11 21:16:16.721946,44,152.89,0,0,8.27,0
T000338,C038,2026-01-11 21:18:30.721946,5,232.38,3,1,-0.32,1
T000339,C045,2026-01-11 21:19:54.721946,45,473.73,2,0,5.63,0
T000340,C008,2026-01-11 21:20:06.721946,16,15.14,1,0,1.2,0
T000341,C027,2026-01-11 21:20:19.721946,25,406.62,0,0,1.47,0
T000342,C027,2026-01-11 21:20:51.721946,27,258.3,2,0,-4.31,0
T000343,C034,2026-01-11 21:21:13.721946,42,311.31,1,0,4.4,0
T000344,C021,2026-01-11 21:24:50.721946,44,343.84,1,0,8.47,0
T000345,C030,2026-01-11 21:25:17.721946,7,230.73,0,0,-2.59,0
T000346,C033,2026-01-11 21:25:46.721946,46,99.97,1,0,-1.12,0
T000347,C028,2026-01-11 21:26:27.721946,42,455.25,2,0,-7.72,0
T000348,C047,2026-01-11 21:26:46.721946,8,371.39,0,0,-1.15,0
T000349,C033,2026-01-11 21:27:00.721946,15,282.0,1,0,-1.57,0
T000350,C005,2026-01-11 21:27:21.721946,16,226.99,1,0,-2.71,0
T000351,C048,2026-01-11 21:27:24.721946,8,252.17,2,0,-4.67,0
